never,RB,,,,,Negation
no,RB,,,,,Negation
none,NN,,,,,Negation
not,RB,,,,,Negation
obligate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
obtain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
okay,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
ordain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
order,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
organize,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
pass,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotEffort
permit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
persuade,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
petition,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
pine,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
plan,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
plot,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
postulate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
powerless,JJ,,,,,NotAble
prefer,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
presume,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
presuppose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
prevail,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
probably,RB,,,,,Belief
promote,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
propose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
pull,VB|VBP|VBZ|VBD|VBN|VBG,off,RP,,,Succeed
questionable,JJ,,,,,NotBelief
reach,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
ready,JJ,,,,,Able
refuse,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
request,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
require,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Require
requirement,NN,,,,,Require
resolve,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
restrain,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
sanctify,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
sanction,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
satisfy,VB|VBP|VBZ|VBD|VBN|VBG,,,,,FirmBelief
scheme,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
seek,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
short,JJ,of,IN,,,NotSucceed
should,MD,,,,,Require
sign,VB|VBP|VBZ|VBD|VBN|VBG,off,RP,on,IN,Permit
signify,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
solicit,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
strive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
strive,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Intend
succeed,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
successful,JJ,,,,,Succeed
suffer,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
suppose,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
sure,JJ,,,,,FirmBelief
suspect,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
tackle,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
take,VB|VBP|VBZ|VBD|VBN|VBG,as,NN,gospel,IN,FirmBelief
think,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
tolerate,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Permit
trust,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Belief
try,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
unable,JJ,,,,,NotAble
unambiguous,JJ,,,,,FirmBelief
unbelieving,JJ,,,,,NotBelief
uncertain,JJ,,,,,NotBelief
undeniable,JJ,,,,,FirmBelief
undertake,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
unerring,JJ,,,,,FirmBelief
unmistakable,JJ,,,,,FirmBelief
unreliable,JJ,,,,,NotBelief
unsuccessful,JJ,,,,,NotSucceed
unsure,JJ,,,,,NotBelief
useless,JJ,,,,,NotSucceed
venture,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
verifiable,JJ,,,,,FirmBelief
veto,VB|VBP|VBZ|VBD|VBN|VBG,,,,,NotPermit
wait,VB|VBP|VBZ|VBD|VBN|VBG,for,IN,,,Belief
want,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
win,VB|VBP|VBZ|VBD|VBN|VBG,over,IN,,,Belief
win,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Succeed
wish,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Want
work,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
wrangle,VB|VBP|VBZ|VBD|VBN|VBG,,,,,Effort
